,Time,Total Load,Power,Power Generation (MW),Net Load,Load Reduction %
103,2013-07-18 07:00:00,8996.033333333335,52268950.0,52.268952,8943.764381333334,0.5810222134940954
104,2013-07-18 08:00:00,9690.925,65957836.0,65.957836,9624.967164,0.6806144511488842
105,2013-07-18 09:00:00,10252.741666666667,41590804.0,41.590804,10211.150862666667,0.4056554368790787
106,2013-07-18 10:00:00,10690.749999999998,25717300.0,25.7173,10665.032699999998,0.24055655590112954
107,2013-07-18 11:00:00,10974.658333333333,21522440.0,21.52244,10953.135893333332,0.19611034208354247
108,2013-07-18 12:00:00,11005.125,10979220.0,10.97922,10994.14578,0.09976460967049443
109,2013-07-18 13:00:00,11095.141666666665,5665470.5,5.6654705,11089.476196166665,0.05106262425671297
110,2013-07-18 14:00:00,11132.10625,5720397.5,5.7203975,11126.385852500001,0.051386479535263145
111,2013-07-18 15:00:00,11219.485714285713,224291.95,0.224291953125,11219.261422332587,0.0019991286484674626
112,2013-07-18 16:00:00,11268.128571428571,571034.6,0.571034625,11267.557536803572,0.005067697101432739
113,2013-07-18 17:00:00,11209.19375,904929.5,0.9049295,11208.2888205,0.008073100708068322
114,2013-07-18 18:00:00,11046.964285714288,5869669.0,5.869669,11041.094616714288,0.053133773661154474
115,2013-07-18 19:00:00,10837.683333333334,25189192.0,25.189192,10812.494141333334,0.23242229197199274
116,2013-07-18 20:00:00,10658.641666666665,39992824.0,39.992824,10618.648842666664,0.375215015671947
117,2013-07-18 21:00:00,10631.008333333335,41923144.0,41.923144,10589.085189333335,0.3943477672625911
118,2013-07-18 22:00:00,10325.233333333332,41445560.0,41.44556,10283.787773333332,0.40140071087981877
119,2013-07-18 23:00:00,9767.233333333334,26448244.0,26.448244,9740.785089333334,0.2707854220062317
120,2013-07-19 00:00:00,9163.6,29490300.0,29.4903,9134.1097,0.32182002706359947
121,2013-07-19 01:00:00,8734.749999999998,42444330.0,42.444328,8692.305671999999,0.4859249320243854
122,2013-07-19 02:00:00,8435.391666666666,48770216.0,48.770216,8386.621450666666,0.5781618438977838
123,2013-07-19 03:00:00,8276.491666666667,75329380.0,75.329376,8201.162290666667,0.9101607182592463
124,2013-07-19 04:00:00,8226.1,69793020.0,69.793024,8156.306976000001,0.8484339358869938
125,2013-07-19 05:00:00,8338.441666666666,68664530.0,68.664528,8269.777138666666,0.8234695491663611
126,2013-07-19 06:00:00,8719.6,68700800.0,68.7008,8650.8992,0.787889352722602
127,2013-07-19 07:00:00,9449.158333333333,73508910.0,73.508912,9375.649421333334,0.7779413722033444
128,2013-07-19 08:00:00,10121.758333333333,85239464.0,85.239464,10036.518869333333,0.8421408730861156
129,2013-07-19 09:00:00,10677.583333333334,76749000.0,76.749,10600.834333333334,0.718786242205243
130,2013-07-19 10:00:00,11081.508333333333,61728870.0,61.728872,11019.779461333334,0.5570439523500487
131,2013-07-19 11:00:00,11345.616666666669,65337776.0,65.337776,11280.278890666668,0.5758856298394239
132,2013-07-19 12:00:00,11353.516666666665,57770930.0,57.770928,11295.745738666665,0.5088373029795468
133,2013-07-19 13:00:00,11408.625,42006600.0,42.0066,11366.6184,0.36820037471649736
