Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/3/2019 7:00,WEST,1832,12
1/3/2019 8:00,CAPITL,1424,13
1/3/2019 8:00,CENTRL,1960,13
1/3/2019 8:00,DUNWOD,661,13
1/3/2019 8:00,GENESE,1188,13
1/3/2019 8:00,HUD VL,1104,13
1/3/2019 8:00,LONGIL,2228,13
1/3/2019 8:00,MHK VL,900,13
1/3/2019 8:00,MILLWD,327,13
1/3/2019 8:00,N.Y.C.,5905,13
1/3/2019 8:00,NORTH,695,13
1/3/2019 8:00,WEST,1848,13
1/3/2019 9:00,CAPITL,1429,14
1/3/2019 9:00,CENTRL,1979,14
1/3/2019 9:00,DUNWOD,669,14
1/3/2019 9:00,GENESE,1202,14
1/3/2019 9:00,HUD VL,1112,14
1/3/2019 9:00,LONGIL,2238,14
1/3/2019 9:00,MHK VL,906,14
1/3/2019 9:00,MILLWD,329,14
1/3/2019 9:00,N.Y.C.,6097,14
1/3/2019 9:00,NORTH,693,14
1/3/2019 9:00,WEST,1871,14
1/3/2019 10:00,CAPITL,1432,15
1/3/2019 10:00,CENTRL,1995,15
1/3/2019 10:00,DUNWOD,674,15
1/3/2019 10:00,GENESE,1218,15
1/3/2019 10:00,HUD VL,1114,15
